pais;entidad_estatal;referencia;descripcion;fase_actual;fecha_publicacion;fecha_presentacion_ofertas;url_detalle
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-401-2026;PRESTACIÓN DE SERVICIOS PROFESIONALES ESPECIALIZADOS PARA REALIZAR ACTIVIDADES DE CALIDAD INTERNA, EJECUTANDO REGLAS DE VALIDACIÓN SOBRE LA BASE GEOGRÁFICA Y ALFANUMÉRICA DEL PROYECTO DE ACTUALIZACIÓN;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:16:03 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708127
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-400-2026;PRESTACIÓN DE SERVICIOS DE APOYO TÉCNICO A LA SUPERVISIÓN Y SEGUIMIENTO DEL DESARROLLO OPERATIVO DE LAS ACTIVIDADES DE CAPTURA DE INFORMACIÓN DEL PROCESO DE BARRIDO PREDIAL REALIZADO EN EL MARCO DE LA;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:12:27 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708048
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-399-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS EN ACTIVIDADES DE APOYO A LA SUPERVISIÓN DEL PROYECTO DE ACTUALIZACIÓN CATASTRAL CON ENFOQUE MULTIPROPÓSITO DESARROLLADO EN EL MARCO DEL CONVENIO INTERAD;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:09:04 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708118
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-398-2026;PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS PARA APOYAR LA SUPERVISIÓN EN LAS ACTIVIDADES DE REVISIÓN, VALIDACIÓN, ASEGURAMIENTO DE LA CALIDAD, CONSOLIDACIÓN Y RECEPCIÓN DE LOS PRODUCTOS DEL COMPON;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 9:04:07 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10708038
COLOMBIA;ALCALDÍA MUNICIPAL DE EL ESPINAL;CMA-02-2026;INTERVENTORIA TECNICA, ADMINISTRATIVA Y FINANCIERA AL CONTRATO DE OBRA CUYO OBJETO ES MANTENIMIENTO Y RECUPERACION DE LA MALLA VIAL DEL MUNICIPIO DE EL ESPINAL TOLIMA;Presentación de observaciones;4 días de tiempo transcurrido (13/08/2026 8:26:10 PM(UTC-05:00) Bogotá, Lima, Quito);10 días para terminar (28/08/2026 5:50:00 PM(UTC-05:00) Bogotá, Lima, Quito);https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10707828
COLOMBIA;UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA;UAECOB-CMA-002-2026 (Presentación de oferta);Interventoría técnica, administrativa, financiera, contable, jurídica y ambiental para la realización del mantenimiento predictivo, preventivo, correctivo y mejoras a las instalaciones de las depende;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 8:15:08 PM(UTC-05:00) Bogotá, Lima, Quito);8 días para terminar (26/08/2026 10:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10707815
COLOMBIA;EMPRESA DE DESARROLLO URBANO DE ANDES - EDUAN;CC-013-2026;"INTERVENTORIA TECNICA, ADMINISTRATIVA, FINANCIERA. LEGAL Y AMBIENTAL PARA EL CONTRATO DE OBRA CUYO OBJETO ES ""MEJORAMIENTO, MANTENIMIENTO Y DOTACION DE LA INFRAESTRUCTURA EDUCATIVA EN EL MUNICIPIO DE";Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 8:02:30 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10707685
COLOMBIA;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ - E.S.P.;EAAB-ICGH-1155-2026;Aunar esfuerzos institucionales, administrativos, tecnológicos y operativos encaminados a realizar el giro y pago de las mesadas pensionales y la atención de pensionados de la Empresa de Acueducto y A;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 6:07:52 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10706948
COLOMBIA;MUNICIPIO DE MACEO;CONTI-SP-004-2026;CONTI-SP-004-2026 EYD VIVIENDA;Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 6:03:35 PM(UTC-05:00) Bogotá, Lima, Quito);-;https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10706799
COLOMBIA;MUNICIPIO DE FRONTINO;CMA-001 DE 2026 (Presentación de oferta);INTERVENTORIA ESCUELA ALTOS DE MURRI (Presentación de oferta);Presentación de oferta;4 días de tiempo transcurrido (13/08/2026 5:48:05 PM(UTC-05:00) Bogotá, Lima, Quito);16 minutos para terminar (18/08/2026 9:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);https://www.secop.gov.co/CO1BusinessLine/Tendering/ContractNoticeView/Index?prevCtxLbl=Buscar+procesos&prevCtxUrl=https%3a%2f%2fwww.secop.gov.co%3a443%2fCO1BusinessLine%2fTendering%2fContractNoticeManagement%2fIndex&notice=CO1.NTC.10706670
